epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8112,1.78801,4.09289,0.87496,0.00023,0.00293,0.00029,0.00021,1.48061,4.12668,0.82415,0.00016665,0.00016665,0.00016665
2,31.2384,1.57523,2.56634,0.84316,0.0005,0.00386,0.00031,0.00017,1.55779,3.93679,0.8232,0.000337591,0.000337591,0.000337591
3,43.1506,1.49622,2.12683,0.83195,0.02472,0.33434,0.10115,0.05088,1.35831,3.40655,0.81764,0.000501492,0.000501492,0.000501492
4,54.7604,1.45911,1.8692,0.84543,0.05901,0.73228,0.20815,0.11744,1.61356,2.779,0.82528,0.000658354,0.000658354,0.000658354
5,66.5182,1.40419,1.77968,0.85003,0.05889,0.8261,0.26069,0.15462,1.41747,2.5349,0.81231,0.000808177,0.000808177,0.000808177
6,75.757,1.31738,1.61811,0.82385,0.38956,0.55501,0.33772,0.22689,1.17263,1.94825,0.81045,0.00095096,0.00095096,0.00095096
7,86.2594,1.37082,1.55808,0.79921,0.44305,0.3643,0.37301,0.24103,1.24004,1.93225,0.82069,0.000979013,0.000979013,0.000979013
8,96.2583,1.40491,1.50516,0.82489,0.47231,0.49246,0.42128,0.28468,1.13212,1.61246,0.81547,0.000957015,0.000957015,0.000957015
9,105.47,1.30583,1.44021,0.8122,0.47649,0.62687,0.45204,0.30856,1.13072,1.24027,0.81802,0.000935018,0.000935018,0.000935018
10,114.815,1.23101,1.34945,0.79653,0.51249,0.62567,0.51407,0.34967,1.15983,1.31797,0.81935,0.00091302,0.00091302,0.00091302
11,124.515,1.35887,1.33864,0.80705,0.58468,0.64736,0.55809,0.38355,1.11148,1.16748,0.81106,0.000891022,0.000891022,0.000891022
12,138.622,1.39005,1.31344,0.82294,0.61043,0.65279,0.59915,0.41664,1.14525,1.10601,0.80635,0.000869024,0.000869024,0.000869024
13,161.27,1.34347,1.25714,0.81281,0.58464,0.68061,0.61117,0.43008,1.16471,1.01392,0.8087,0.000847026,0.000847026,0.000847026
14,173.891,1.25922,1.18776,0.82237,0.6295,0.69481,0.68539,0.4813,1.14831,0.92364,0.80958,0.000825029,0.000825029,0.000825029
15,183.277,1.26228,1.12956,0.81123,0.69746,0.69472,0.72099,0.52438,1.0608,0.84313,0.80882,0.000803031,0.000803031,0.000803031
16,192.678,1.28352,1.08854,0.8183,0.74841,0.7105,0.74921,0.54486,1.09851,0.83672,0.8077,0.000781033,0.000781033,0.000781033
17,204.668,1.24913,1.06712,0.8054,0.74701,0.72894,0.78403,0.57641,1.03605,0.80671,0.80187,0.000759035,0.000759035,0.000759035
18,214.472,1.21207,0.9998,0.79346,0.80081,0.75073,0.80542,0.58156,1.06438,0.76731,0.80134,0.000737037,0.000737037,0.000737037
19,225.977,1.21853,0.98433,0.81035,0.80193,0.7584,0.81079,0.57828,1.08564,0.73235,0.80432,0.00071504,0.00071504,0.00071504
20,235.559,1.21618,0.90151,0.79255,0.80944,0.75949,0.81692,0.58811,1.07481,0.72358,0.80491,0.000693042,0.000693042,0.000693042
21,244.973,1.20308,0.96611,0.82678,0.83546,0.77357,0.83106,0.60539,1.00971,0.70139,0.80326,0.000671044,0.000671044,0.000671044
