epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.06174,3.24403,3.76908,2.27163,0.005,0.25,0.00454,0.00096,3.14731,3.73613,2.16764,6e-05,6e-05,6e-05
2,3.07389,3.05057,3.69966,2.00552,0.00833,0.41667,0.01181,0.00365,2.62431,3.58594,1.80795,0.000138614,0.000138614,0.000138614
3,3.94566,2.57456,3.34658,1.74738,0.01167,0.58333,0.06917,0.02666,2.22054,3.42534,1.5701,0.000215644,0.000215644,0.000215644
4,4.83905,2.55947,2.88334,1.62144,0.01417,0.70833,0.16639,0.05941,2.32614,3.25916,1.48759,0.00029109,0.00029109,0.00029109
5,5.79304,2.4129,2.33464,1.56808,0.0175,0.875,0.35423,0.08363,2.14821,3.001,1.4499,0.000364952,0.000364952,0.000364952
6,6.68063,2.43278,2.15573,1.48425,0.01833,0.91667,0.29355,0.08152,2.11589,2.89212,1.44759,0.00043723,0.00043723,0.00043723
7,7.54852,2.34111,1.93516,1.45044,0.01917,0.95833,0.26114,0.06698,2.02121,2.86699,1.35101,0.000507924,0.000507924,0.000507924
8,8.33868,2.23944,1.93168,1.36665,0.01917,0.95833,0.22788,0.06354,1.95683,2.85696,1.31653,0.000577034,0.000577034,0.000577034
9,9.09063,2.1243,1.77549,1.3428,0.02,1,0.29577,0.08375,1.94726,2.7907,1.31887,0.00064456,0.00064456,0.00064456
10,9.93031,2.10858,1.82678,1.33685,1,0.11659,0.37852,0.13494,1.91102,2.6011,1.34642,0.000710502,0.000710502,0.000710502
11,10.8359,2.03145,1.73031,1.36437,0.62424,0.625,0.62284,0.25832,1.92755,2.39415,1.3349,0.00077486,0.00077486,0.00077486
12,11.7659,1.95318,1.47897,1.31319,0.82659,0.5,0.7205,0.29063,1.91903,2.37423,1.33594,0.000837634,0.000837634,0.000837634
13,12.72,2.0726,1.49555,1.31163,0.86422,0.53095,0.70163,0.25818,1.9171,2.375,1.28219,0.000898824,0.000898824,0.000898824
14,13.6521,2.06685,1.51322,1.3138,1,0.25055,0.78072,0.27826,1.97127,2.31275,1.30965,0.00095843,0.00095843,0.00095843
15,14.445,2.03687,1.51482,1.32266,0.91159,0.4304,0.76704,0.29624,2.00927,2.15186,1.35122,0.00101645,0.00101645,0.00101645
16,15.2412,2.03696,1.42369,1.31519,0.91159,0.4304,0.76704,0.29624,2.00927,2.15186,1.35122,0.00107289,0.00107289,0.00107289
17,16.1433,1.97392,1.39577,1.30837,0.92709,0.5304,0.77683,0.29108,1.9997,2.08983,1.40786,0.00112774,0.00112774,0.00112774
18,16.9285,2.07023,1.4481,1.34581,0.82683,0.66667,0.70553,0.30269,2.05681,1.97151,1.48006,0.00118101,0.00118101,0.00118101
19,17.7162,2.08542,1.44407,1.32802,0.82683,0.66667,0.70553,0.30269,2.05681,1.97151,1.48006,0.0012327,0.0012327,0.0012327
20,18.5801,1.92007,1.33196,1.25633,0.66031,0.56745,0.67371,0.29445,2.10356,1.91656,1.50954,0.0012828,0.0012828,0.0012828
21,19.5155,2.02608,1.37546,1.27364,0.73016,0.6768,0.77003,0.28925,2.06028,1.82103,1.48996,0.00133132,0.00133132,0.00133132
22,20.3425,1.98504,1.30303,1.24891,0.73016,0.6768,0.77003,0.28925,2.06028,1.82103,1.48996,0.00137825,0.00137825,0.00137825
23,21.2064,2.04351,1.36191,1.32003,0.67752,0.75,0.71196,0.27142,2.10224,1.7019,1.57784,0.0014236,0.0014236,0.0014236
24,22.0022,1.94889,1.28996,1.27256,0.67752,0.75,0.71196,0.27142,2.10224,1.7019,1.57784,0.00146737,0.00146737,0.00146737
25,22.7741,1.92578,1.25306,1.23993,0.75441,0.79167,0.73704,0.30323,2.02786,1.57539,1.55616,0.00150955,0.00150955,0.00150955
26,23.7731,2.04719,1.33038,1.32886,0.75441,0.79167,0.73704,0.30323,2.02786,1.57539,1.55616,0.001505,0.001505,0.001505
27,24.9026,1.96977,1.2395,1.29091,0.77318,0.79167,0.7437,0.33152,1.90796,1.58067,1.49275,0.0014852,0.0014852,0.0014852
28,25.7756,1.92085,1.26165,1.23427,0.77318,0.79167,0.7437,0.33152,1.90796,1.58067,1.49275,0.0014654,0.0014654,0.0014654
29,26.6805,1.91199,1.24009,1.25642,0.7532,0.83333,0.80744,0.36871,1.9359,1.34341,1.4987,0.0014456,0.0014456,0.0014456
30,27.524,1.94558,1.22165,1.28208,0.7532,0.83333,0.80744,0.36871,1.9359,1.34341,1.4987,0.0014258,0.0014258,0.0014258
31,28.4524,1.93597,1.23074,1.2886,0.83098,0.81981,0.8353,0.37521,2.00125,1.24864,1.52642,0.001406,0.001406,0.001406
32,29.3158,1.89834,1.23764,1.29423,0.83098,0.81981,0.8353,0.37521,2.00125,1.24864,1.52642,0.0013862,0.0013862,0.0013862
33,30.176,1.80559,1.28231,1.25899,0.8648,0.875,0.86547,0.34032,2.02562,1.28473,1.5484,0.0013664,0.0013664,0.0013664
34,30.9297,1.83247,1.21778,1.24166,0.8648,0.875,0.86547,0.34032,2.02562,1.28473,1.5484,0.0013466,0.0013466,0.0013466
35,31.7225,1.90795,1.21946,1.23556,0.90829,0.91667,0.8842,0.3324,2.06072,1.2139,1.53498,0.0013268,0.0013268,0.0013268
36,32.6698,1.87604,1.19083,1.2243,0.90829,0.91667,0.8842,0.3324,2.06072,1.2139,1.53498,0.001307,0.001307,0.001307
37,33.4728,1.82245,1.26436,1.22192,0.7879,0.83333,0.77764,0.29421,2.15368,1.2225,1.60098,0.0012872,0.0012872,0.0012872
38,34.2783,1.80151,1.17452,1.26615,0.7879,0.83333,0.77764,0.29421,2.15368,1.2225,1.60098,0.0012674,0.0012674,0.0012674
39,35.0546,1.86936,1.20836,1.23804,0.9158,0.90667,0.89945,0.29196,2.19048,1.15465,1.57633,0.0012476,0.0012476,0.0012476
40,35.888,1.97134,1.14905,1.242,0.9158,0.90667,0.89945,0.29196,2.19048,1.15465,1.57633,0.0012278,0.0012278,0.0012278
41,36.6964,1.94025,1.16451,1.28799,0.80058,0.8365,0.79135,0.28935,2.21338,1.18543,1.58515,0.001208,0.001208,0.001208
42,37.4593,1.85651,1.13932,1.21789,0.80058,0.8365,0.79135,0.28935,2.21338,1.18543,1.58515,0.0011882,0.0011882,0.0011882
43,38.2413,1.86609,1.12978,1.23483,0.79624,0.83333,0.72029,0.24981,2.28206,1.25377,1.66482,0.0011684,0.0011684,0.0011684
44,38.9989,1.88797,1.11376,1.20819,0.79624,0.83333,0.72029,0.24981,2.28206,1.25377,1.66482,0.0011486,0.0011486,0.0011486
45,39.79,1.90983,1.1991,1.26029,0.76525,0.75,0.69943,0.26739,2.23841,1.22201,1.6049,0.0011288,0.0011288,0.0011288
46,40.581,1.85321,1.15699,1.21709,0.76525,0.75,0.69943,0.26739,2.23841,1.22201,1.6049,0.001109,0.001109,0.001109
47,41.4199,1.76735,1.16005,1.21551,0.87353,0.86371,0.86382,0.31344,2.11831,1.14349,1.47704,0.0010892,0.0010892,0.0010892
48,42.1842,1.9206,1.1614,1.24529,0.87353,0.86371,0.86382,0.31344,2.11831,1.14349,1.47704,0.0010694,0.0010694,0.0010694
49,43.1053,1.88119,1.18271,1.27344,0.90498,0.875,0.89246,0.31257,2.07957,1.10062,1.48046,0.0010496,0.0010496,0.0010496
50,43.9738,1.87127,1.10468,1.21413,0.90498,0.875,0.89246,0.31257,2.07957,1.10062,1.48046,0.0010298,0.0010298,0.0010298
51,44.8428,1.8711,1.11425,1.22061,0.83998,0.87489,0.84347,0.29278,2.11035,1.102,1.59656,0.00101,0.00101,0.00101
52,45.6086,1.8948,1.12389,1.24257,0.83998,0.87489,0.84347,0.29278,2.11035,1.102,1.59656,0.0009902,0.0009902,0.0009902
53,46.5157,1.74458,1.06841,1.20087,0.83244,0.82821,0.7775,0.30391,2.12836,1.08631,1.60415,0.0009704,0.0009704,0.0009704
54,47.3324,1.8793,1.09938,1.26265,0.83244,0.82821,0.7775,0.30391,2.12836,1.08631,1.60415,0.0009506,0.0009506,0.0009506
55,48.1331,1.83697,1.11891,1.25778,0.91601,0.90917,0.90708,0.31893,2.14651,1.09428,1.55976,0.0009308,0.0009308,0.0009308
56,48.9291,1.82923,1.08089,1.20969,0.91601,0.90917,0.90708,0.31893,2.14651,1.09428,1.55976,0.000911,0.000911,0.000911
57,49.8792,1.81403,1.03784,1.19541,0.87519,0.91667,0.93295,0.3295,2.18808,1.07457,1.53403,0.0008912,0.0008912,0.0008912
58,50.8281,1.8579,1.09287,1.20119,0.87519,0.91667,0.93295,0.3295,2.18808,1.07457,1.53403,0.0008714,0.0008714,0.0008714
59,51.7227,1.84778,1.10161,1.25876,0.85803,0.91667,0.9189,0.30985,2.2248,1.1318,1.57262,0.0008516,0.0008516,0.0008516
60,52.5608,1.74645,1.01584,1.19045,0.85803,0.91667,0.9189,0.30985,2.2248,1.1318,1.57262,0.0008318,0.0008318,0.0008318
61,53.3969,1.84439,1.07248,1.21427,0.87863,0.875,0.88874,0.28079,2.23307,1.15543,1.60598,0.000812,0.000812,0.000812
62,54.1568,1.73504,1.07345,1.20779,0.87863,0.875,0.88874,0.28079,2.23307,1.15543,1.60598,0.0007922,0.0007922,0.0007922
63,55.0644,1.76195,1.07523,1.22477,0.8009,0.75,0.73796,0.27747,2.21871,1.16409,1.62858,0.0007724,0.0007724,0.0007724
64,55.8671,1.80483,1.0375,1.19173,0.8009,0.75,0.73796,0.27747,2.21871,1.16409,1.62858,0.0007526,0.0007526,0.0007526
65,56.6728,1.78548,1.05127,1.19746,0.91567,0.9052,0.92543,0.32672,2.20984,1.08127,1.62669,0.0007328,0.0007328,0.0007328
66,57.4257,1.79736,1.05144,1.24291,0.91567,0.9052,0.92543,0.32672,2.20984,1.08127,1.62669,0.000713,0.000713,0.000713
67,58.229,1.79435,1.00336,1.23011,0.91616,0.91085,0.92826,0.35709,2.21453,1.03695,1.62174,0.0006932,0.0006932,0.0006932
